Mode,Eigenvalue,Tx,Ty,Tz,Rx,Ry,Rz,V_Stretch
EMIT 1,-0.8523,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
EMIT 2,-0.6724,0.1710,0.0000,0.0000,0.0000,0.0000,-0.9561,0.3024
EMIT 3,-0.4711,0.0000,-0.0468,0.0000,0.0000,0.0000,0.0000,0.2787
EMIT 4,-0.3312,0.0000,0.0000,-0.3333,1.0000,0.0000,0.0000,0.0000
EMIT 5,-0.0401,-0.1992,0.0000,0.0000,0.0000,0.0000,-0.3103,0.9795
EMIT 6,0.0000,0.0000,-0.0491,0.0000,0.0000,0.0000,0.0000,0.9898
EMIT 7,0.2106,1.0000,0.0000,0.0000,0.0000,0.0000,0.0491,0.7852
EMIT 8,0.3812,0.0000,-1.0000,0.0000,0.0000,0.0000,0.0000,0.6192
EMIT 9,0.5918,0.0000,0.0000,-1.0000,0.3333,0.0000,0.0000,0.0000
