Mode,Freq,Tx,Ty,Tz,Rx,Ry,Rz,V_Stretch
Tx,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0491,0.0000
Ty,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Tz,0.0000,0.0000,0.0000,1.0000,-0.3333,0.0000,0.0000,0.0000
Rx,0.0000,0.0000,0.0000,-0.3333,1.0000,0.0000,0.0000,0.0000
Ry,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
Rz,0.0000,0.0491,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
Vib 1,1628.0292,0.0000,-0.1921,0.0000,0.0000,0.0000,0.0000,0.0614
Vib 2,3887.1921,0.0000,-0.0465,0.0000,0.0000,0.0000,0.0000,1.0000
Vib 3,4005.5056,-0.1901,0.0000,0.0000,0.0000,0.0000,-0.2955,0.9984
