Mode,Freq,Tx,Ty,Tz,Rx,Ry,Rz,V_Stretch
1,1628.0292,0.0000,0.0000,-0.1921,0.0000,0.0000,0.0000,0.0614
2,3887.1921,0.0000,0.0000,-0.0465,0.0000,0.0000,0.0000,1.0000
3,4005.5056,0.0000,-0.1901,0.0000,-0.2955,0.0000,0.0000,0.9984
